lon,lat,name,code
-37.15,-7.2,Cacimbas,2503555
-37.1,-7.2,Cacimbas,2503555
-37.05,-7.2,Cacimbas,2503555
-37.0,-7.2,Taperoá,2516508
-36.95,-7.2,Taperoá,2516508
-36.9,-7.2,Taperoá,2516508
-36.85,-7.2,Taperoá,2516508
-36.8,-7.2,Taperoá,2516508
-36.75,-7.2,Taperoá,2516508
-36.7,-7.2,Taperoá,2516508
-36.65,-7.2,Santo André,2513851
-36.6,-7.2,Santo André,2513851
-36.55,-7.2,Santo André,2513851
-36.5,-7.2,Gurjão,2506509
-36.45,-7.2,Gurjão,2506509
-36.4,-7.2,Soledade,2516102
-36.35,-7.2,Soledade,2516102
-36.3,-7.2,Boa Vista,2502151
-36.25,-7.2,Boa Vista,2502151
-36.2,-7.2,Boa Vista,2502151
-36.15,-7.2,Boa Vista,2502151
-36.1,-7.2,Boa Vista,2502151
-36.05,-7.2,Campina Grande,2504009
-36.0,-7.2,Campina Grande,2504009
-35.95,-7.2,Campina Grande,2504009
-35.9,-7.2,Campina Grande,2504009
-35.85,-7.2,Lagoa Seca,2508307
-35.8,-7.2,Massaranduba,2509206
-35.75,-7.2,Massaranduba,2509206
-35.7,-7.2,Massaranduba,2509206
-35.65,-7.2,Ingá,2506806
-35.6,-7.2,Ingá,2506806
-35.55,-7.2,Ingá,2506806
-35.5,-7.2,Gurinhém,2506400
-35.45,-7.2,Gurinhém,2506400
-35.4,-7.2,Gurinhém,2506400
-35.35,-7.2,São José dos Ramos,2514453
-35.3,-7.2,Sobrado,2515971
-35.25,-7.2,Sobrado,2515971
-35.2,-7.2,São Miguel de Taipu,2515005
-35.15,-7.2,Cruz do Espírito Santo,2504900
-35.1,-7.2,Cruz do Espírito Santo,2504900
-35.05,-7.2,Santa Rita,2513703
-35.0,-7.2,Santa Rita,2513703
-34.95,-7.2,João Pessoa,2507507
-34.9,-7.2,João Pessoa,2507507
-34.85,-7.2,João Pessoa,2507507
-34.8,-7.2,João Pessoa,2507507
-38.7,-7.15,São José de Piranhas,2514503
-38.65,-7.15,São José de Piranhas,2514503
-38.6,-7.15,São José de Piranhas,2514503
-38.55,-7.15,São José de Piranhas,2514503
-38.5,-7.15,São José de Piranhas,2514503
-38.45,-7.15,São José de Piranhas,2514503
-38.4,-7.15,São José de Piranhas,2514503
-38.35,-7.15,São José de Piranhas,2514503
-38.3,-7.15,São José de Piranhas,2514503
-38.25,-7.15,Aguiar,2500205
-38.2,-7.15,Igaracy,2502607
-38.15,-7.15,Igaracy,2502607
-38.1,-7.15,Igaracy,2502607
-38.05,-7.15,Piancó,2511301
-38.0,-7.15,Coremas,2504801
-37.95,-7.15,Piancó,2511301
-37.9,-7.15,Piancó,2511301
-37.85,-7.15,Piancó,2511301
-37.8,-7.15,Piancó,2511301
-37.75,-7.15,Emas,2505907
-37.7,-7.15,Emas,2505907
-37.65,-7.15,Catingueira,2504207
-37.6,-7.15,Catingueira,2504207
-37.55,-7.15,Catingueira,2504207
-37.5,-7.15,Santa Teresinha,2513802
-37.45,-7.15,Santa Teresinha,2513802
-37.4,-7.15,Santa Teresinha,2513802
-37.35,-7.15,São José do Bonfim,2514602
-37.3,-7.15,São José do Bonfim,2514602
-37.25,-7.15,São José do Bonfim,2514602
-37.2,-7.15,Cacimba de Areia,2503407
-37.15,-7.15,Cacimba de Areia,2503407
-37.1,-7.15,Cacimba de Areia,2503407
-37.05,-7.15,Passagem,2510709
-37.0,-7.15,Passagem,2510709
-36.95,-7.15,Areia de Baraúnas,2501153
-36.9,-7.15,Salgadinho,2513000
-36.85,-7.15,Salgadinho,2513000
-36.8,-7.15,Taperoá,2516508
-36.75,-7.15,Taperoá,2516508
-36.7,-7.15,Taperoá,2516508
-36.65,-7.15,Santo André,2513851
-36.6,-7.15,Juazeirinho,2507705
-36.55,-7.15,Juazeirinho,2507705
-36.5,-7.15,Juazeirinho,2507705
-36.45,-7.15,Soledade,2516102
-36.4,-7.15,Soledade,2516102
-36.35,-7.15,Soledade,2516102
-36.3,-7.15,Soledade,2516102
-36.25,-7.15,Soledade,2516102
-36.2,-7.15,Pocinhos,2512002
-36.15,-7.15,Pocinhos,2512002
-36.1,-7.15,Pocinhos,2512002
-36.05,-7.15,Pocinhos,2512002
-36.0,-7.15,Puxinanã,2512408
-35.95,-7.15,Puxinanã,2512408
-35.9,-7.15,Lagoa Seca,2508307
-35.85,-7.15,Lagoa Seca,2508307
-35.8,-7.15,Lagoa Seca,2508307
-35.75,-7.15,Massaranduba,2509206
-35.7,-7.15,Massaranduba,2509206
-35.65,-7.15,Serra Redonda,2515807
-35.6,-7.15,Juarez Távora,2507606
-35.55,-7.15,Juarez Távora,2507606
-35.5,-7.15,Gurinhém,2506400
-35.45,-7.15,Gurinhém,2506400
-35.4,-7.15,Gurinhém,2506400
-35.35,-7.15,Caldas Brandão,2503803
-35.3,-7.15,Riachão do Poço,2512762
-35.25,-7.15,Sobrado,2515971
-35.2,-7.15,Sapé,2515302
-35.15,-7.15,Cruz do Espírito Santo,2504900
-35.1,-7.15,Cruz do Espírito Santo,2504900
-35.05,-7.15,Cruz do Espírito Santo,2504900
-35.0,-7.15,Santa Rita,2513703
-34.95,-7.15,Bayeux,2501807
-34.9,-7.15,João Pessoa,2507507
-34.85,-7.15,João Pessoa,2507507
-34.8,-7.15,João Pessoa,2507507
-38.65,-7.1,São José de Piranhas,2514503
-38.6,-7.1,São José de Piranhas,2514503
-38.55,-7.1,São José de Piranhas,2514503
-38.5,-7.1,São José de Piranhas,2514503
-38.45,-7.1,São José de Piranhas,2514503
-38.4,-7.1,São José de Piranhas,2514503
-38.35,-7.1,São José de Piranhas,2514503
-38.3,-7.1,Aguiar,2500205
-38.25,-7.1,Aguiar,2500205
-38.2,-7.1,Aguiar,2500205
-38.15,-7.1,Igaracy,2502607
-38.1,-7.1,Igaracy,2502607
-38.05,-7.1,Coremas,2504801
-38.0,-7.1,Coremas,2504801
-37.95,-7.1,Piancó,2511301
-37.9,-7.1,Piancó,2511301
-37.85,-7.1,Piancó,2511301
-37.8,-7.1,Emas,2505907
-37.75,-7.1,Emas,2505907
-37.7,-7.1,Emas,2505907
-37.65,-7.1,Catingueira,2504207
-37.6,-7.1,Catingueira,2504207
-37.55,-7.1,Catingueira,2504207
-37.5,-7.1,Santa Teresinha,2513802
-37.45,-7.1,Santa Teresinha,2513802
-37.4,-7.1,Santa Teresinha,2513802
-37.35,-7.1,Santa Teresinha,2513802
-37.3,-7.1,São José do Bonfim,2514602
