lon,lat,name,code,WIND_SPEED,SOLAR_IRRAD
-36.05,-7.8,Alcantil,2500536,3.0093413373254836,5.415461145329208
-36.0,-7.8,Santa Cecília,2513158,3.0386325368975546,5.417476475679156
-35.95,-7.8,Santa Cecília,2513158,3.067727857484994,5.420140303625056
-35.9,-7.8,Santa Cecília,2513158,3.095977512610132,5.423462792832273
-38.6,-7.75,Santa Inês,2513356,2.292150898784494,5.690206699661764
-38.55,-7.75,Santa Inês,2513356,2.307763999635383,5.70002053550246
-38.5,-7.75,Santa Inês,2513356,2.3684785902926975,5.635037536636611
-38.45,-7.75,Santa Inês,2513356,2.3699850400917906,5.646891658740952
-38.4,-7.75,Santana de Mangueira,2513505,2.37070233134377,5.6580612567046655
-38.3,-7.75,Manaíra,2509008,2.3706744217181206,5.677133004293568
-38.25,-7.75,Manaíra,2509008,2.3704521715148075,5.684486090459603
-38.2,-7.75,Manaíra,2509008,2.394976178220117,5.920186315306661
-38.15,-7.75,Manaíra,2509008,2.403494330912427,5.923282986973542
-38.1,-7.75,São José de Princesa,2514552,2.412068437607924,5.926733230123097
-38.05,-7.75,Princesa Isabel,2512309,2.4464876955927357,5.907239554451775
-38.0,-7.75,Princesa Isabel,2512309,2.46411144929625,5.911096664654691
-37.95,-7.75,Princesa Isabel,2512309,2.4836418376875686,5.914657279803827
-37.15,-7.75,Prata,2512200,2.939486803949948,5.776032246507376
-37.1,-7.75,Prata,2512200,2.930039917850131,5.77276405899401
-37.05,-7.75,Monteiro,2509701,2.925835737604464,5.765971087349263
-37.0,-7.75,Sumé,2516300,2.924599772549704,5.756951325214607
-36.95,-7.75,Sumé,2516300,2.9241345232245353,5.746961203569969
-36.9,-7.75,Sumé,2516300,2.9231494771715396,5.736759976204455
-36.85,-7.75,Sumé,2516300,2.921033595479808,5.72673816108111
-36.8,-7.75,Sumé,2516300,2.9175574960911894,5.7170842568252755
-36.75,-7.75,Sumé,2516300,2.9127001787073716,5.707883260356469
-36.7,-7.75,Congo,2504702,2.906562154638045,5.699169090226293
-36.65,-7.75,Congo,2504702,2.8991411889448324,5.619892693461896
-36.6,-7.75,Caraúbas,2504074,2.8978664680363626,5.6129641448498795
