code,name,x,y,WIND_SPEED,SOLAR_IRRAD,n_points,IP_PB,wind_cls,solar_cls,group
2512101,Pombal,0.2776404289230381,0.9016631190545709,2.3862933297972972,5.939109323699146,31,0.9434408238123818,Bad,Good,Bad/Good
2512200,Prata,0.5363434993729274,0.7720343821749331,2.9411928527954148,5.770719404835648,7,0.9400539540791412,Good,Good,Good/Good
2502409,Bonito de Santa Fé,0.1056870592703355,0.9338556493693795,2.017465690325249,5.980927964366414,8,0.9398170717519004,Bad,Good,Bad/Good
2509602,Monte Horebe,0.07592460228178634,0.9367026995865566,1.9536273556758859,5.984626330690201,6,0.9397747031306973,Bad,Good,Bad/Good
2500734,Amparo,0.5444386956314966,0.765539328625392,2.958556467903054,5.762282220561941,5,0.9393955274393962,Good,Good,Good/Good
2505303,Curral Velho,0.2288882214634014,0.9082260595434969,2.2817233429880464,5.947634694253843,8,0.9366239336887493,Bad,Good,Bad/Good
2517407,Zabelê,0.5833813156424016,0.7316090897518952,3.0420855935170996,5.718206267123992,4,0.9357273212043432,Good,Good,Good/Good
2508109,Lagoa,0.25567233999062067,0.892704743879963,2.33917335534713,5.927472243024653,6,0.9285957706031565,Bad,Good,Bad/Good
2509370,Mato Grosso,0.33921604798030724,0.864220714295826,2.5183686143456145,5.890471007449613,2,0.9284099149757966,Bad,Good,Bad/Good
2513000,Salgadinho,0.5623625966387796,0.7357191360881382,2.997001949442607,5.723545286740666,6,0.9260314990887659,Good,Good,Good/Good
2514800,São José dos Cordeiros,0.5418362231791868,0.7498532855300025,2.952974351232033,5.741905785616236,12,0.9251305002912967,Good,Good,Good/Good
2516508,Taperoá,0.5567314737176241,0.7356111150085426,2.984923594835299,5.723404965533606,21,0.922536528464813,Good,Good,Good/Good
2500403,Alagoa Nova,0.9119544657723697,0.11218151270591963,3.746851423934348,4.913559381322474,6,0.9188284058708441,Good,Bad,Good/Bad
2516201,Sousa,0.07487486599962175,0.9147301059382298,1.9513757466739747,5.956083560385358,24,0.9177894160798687,Bad,Good,Bad/Good
2505600,Diamante,0.16964002653872154,0.9014290941952172,2.154640216200912,5.938805321453755,9,0.9172525009318143,Bad,Good,Bad/Good
2502904,Brejo dos Santos,0.31348174150611163,0.8610995215644608,2.4631703735114976,5.886416525369147,4,0.9163859385085783,Bad,Good,Bad/Good
2516300,Sumé,0.5296155725000818,0.7460664588267605,2.9267619324123832,5.736986633762577,29,0.9149359625792899,Good,Good,Good/Good
2514552,São José de Princesa,0.2880316527532218,0.868313950059954,2.4085817592956724,5.89578818984915,7,0.9148395208212602,Bad,Good,Bad/Good
2515807,Serra Redonda,0.9023855260148264,0.14376441767648776,3.72632673476918,4.954586108369931,1,0.9137657497142878,Good,Bad,Good/Bad
2513406,Santa Luzia,0.5778749267082814,0.6972779774299463,3.030274784361755,5.673609572305046,13,0.9056136089563244,Good,Good,Good/Good
2512705,Remígio,0.8941175122159577,0.09296294493186953,3.7085924384380404,4.8885941371486465,6,0.8989372807830696,Good,Bad,Good/Bad
2502805,Brejo do Cruz,0.4668745834076654,0.7651974493197299,2.7921870127592525,5.7618381135689445,15,0.8963810646580513,Bad,Good,Bad/Good
2517209,Vieirópolis,0.13079057550396636,0.8866200801057446,2.0713109313554114,5.919568162001294,5,0.8962150082917467,Bad,Good,Bad/Good
2506608,Ibiara,0.18146324936302502,0.8768759658064358,2.180000180789261,5.906910392931302,7,0.895455398263005,Bad,Good,Bad/Good
2515203,São Sebastião do Umbuzeiro,0.6145660109420664,0.6482204421013535,3.108974527291766,5.609883005245342,18,0.8932419176031308,Good,Good,Good/Good
2517100,Várzea,0.5829204595771774,0.6747608920991737,3.0410970903257035,5.644359498107287,9,0.8916829726422617,Good,Good,Good/Good
2510659,Parari,0.5338684906167708,0.7119460782908228,2.935884136606546,5.692663683093288,5,0.889877959985026,Good,Good,Good/Good
2509339,Matinhas,0.877988002717546,0.14417660072738334,3.673995797929299,4.955121541115539,0,0.8897470568162891,Good,Bad,Good/Bad
2515500,Serra Branca,0.5146341944649054,0.7250833005370431,2.89462795150865,5.709729156701867,21,0.8891536126172092,Bad,Good,Bad/Good
2500908,Arara,0.884954180032638,0.06280911655684661,3.688937748415402,4.849423804738414,4,0.8871803006604071,Good,Bad,Good/Bad
2515906,Serraria,0.8599206879300788,0.06730247057376326,3.63524270412184,4.855260747507024,1,0.8625504113241569,Good,Bad,Good/Bad
2504405,Conceição,0.17041853221387437,0.8447251434534335,2.1563100550128067,5.865145931610941,23,0.8617441871601776,Bad,Good,Bad/Good
2507804,Junco do Seridó,0.575861216019392,0.6393806314679784,3.0259555194269483,5.598399941912674,8,0.8604787806864989,Good,Good,Good/Good
2500304,Alagoa Grande,0.8512409481211228,0.1000512343564275,3.6166252850422684,4.897801944844795,11,0.8571005782604472,Good,Bad,Good/Bad
2515104,São Sebastião de Lagoa de Roça,0.8406670970623036,0.16353759512082838,3.5939451332428005,4.980271799873796,1,0.8564261282218476,Good,Bad,Good/Bad
2504850,Coxixola,0.4945227146647076,0.6978291921047902,2.85149027042698,5.674325609478651,7,0.855288428936681,Bad,Good,Bad/Good
2503902,Camalaú,0.5430860642797404,0.6584100464163681,2.955655170710962,5.623119473370845,16,0.8534906340651094,Good,Good,Good/Good
2512754,Riachão do Bacamarte,0.8283558086391554,0.19909425557841123,3.567538302965846,5.026460502422589,2,0.8519459303914485,Good,Bad,Good/Bad
2513851,Santo André,0.5551458340888294,0.6445754949506558,2.981522511608359,5.605148157327032,6,0.8506847041043262,Good,Good,Good/Good
