lon,lat,name,code,elev,dist_coast,WIND_SPEED,SOLAR_IRRAD
-36.8,-7.9,Camalaú,2503902,550.0,192.12991327541212,3.0083803882726476,5.376664462528716
-36.75,-7.9,Camalaú,2503902,519.0,186.851263431558,2.924400958337905,5.391728209398723
-36.7,-7.9,Camalaú,2503902,538.0,181.58709514684384,2.9838586584075024,5.373437562773116
-36.65,-7.9,Camalaú,2503902,551.0,176.3387053624801,3.0017151481344677,5.363081657675923
-36.6,-7.9,Congo,2504702,543.0,171.1075460086714,3.003538177691839,5.36812684054962
-36.55,-7.9,Congo,2504702,604.0,165.89524707010446,2.9999791950930086,5.3296554023885
-36.5,-7.9,Caraúbas,2504074,540.0,160.7036437263944,3.0030390827971276,5.348996909066753
-36.45,-7.9,Caraúbas,2504074,579.0,155.53480838891397,3.0210320103099497,5.307531620652239
-38.25,-7.85,Manaíra,2509008,770.0,347.66873668450387,2.738546769210525,5.830517564073037
-38.1,-7.85,São José de Princesa,2514552,1057.0,331.28398916892394,2.748376091702594,5.8939803020038175
-37.25,-7.85,Monteiro,2509701,726.0,238.9106173768,3.0677011810765054,5.7875526727113575
-37.2,-7.85,Monteiro,2509701,635.0,233.51421263338443,3.038034594544361,5.795516813255359
-37.15,-7.85,Monteiro,2509701,630.0,228.1238245237928,2.996131730984348,5.723151984246576
-37.1,-7.85,Monteiro,2509701,627.0,222.73988986277857,2.992988519429987,5.5059611165814815
-37.05,-7.85,Monteiro,2509701,598.0,217.36288819379917,3.0574454480534734,5.420590895702809
-37.0,-7.85,Monteiro,2509701,605.0,211.9933470629813,3.0574454480534734,5.415380328156488
-36.95,-7.85,Monteiro,2509701,593.0,206.63184808041584,3.025974717880311,5.3534195612035695
-36.9,-7.85,Camalaú,2503902,545.0,201.2790339067576,3.0282774459398087,5.390716817791627
-36.85,-7.85,Camalaú,2503902,563.0,195.9356163307096,3.0306284383634723,5.388044949005791
-36.8,-7.85,Camalaú,2503902,513.0,190.6023856369573,2.9644176891517784,5.391126445276447
-36.75,-7.85,Camalaú,2503902,532.0,185.28022150583556,2.9802060953615936,5.374694426025019
