lon,lat,name,code,elev,dist_coast
-36.45,-7.65,São Domingos do Cariri,2513943,415.0,147.9161655870858
-36.4,-7.65,São Domingos do Cariri,2513943,411.0,142.49770160521737
-36.35,-7.65,Barra de São Miguel,2501708,448.0,137.0875096086459
-36.3,-7.65,Barra de São Miguel,2501708,465.0,131.68660913615597
-36.25,-7.65,Barra de São Miguel,2501708,557.0,126.29619221498511
-36.2,-7.65,Barra de São Miguel,2501708,478.0,120.91766089938052
-36.15,-7.65,Riacho de Santo Antônio,2512788,416.0,115.55267488854528
-36.1,-7.65,Alcantil,2500536,423.0,110.20321246481787
-36.05,-7.65,Alcantil,2500536,365.0,104.87164921169456
-36.0,-7.65,Alcantil,2500536,390.0,99.56086071515902
-35.95,-7.65,Barra de Santana,2501575,313.0,94.27435797423031
-35.9,-7.65,Barra de Santana,2501575,327.0,89.01646793549155
-35.85,-7.65,Gado Bravo,2506251,357.0,83.79257701679276
-35.8,-7.65,Gado Bravo,2506251,261.0,78.60946361391261
-35.75,-7.65,Gado Bravo,2506251,172.0,73.475757793754
-35.7,-7.65,Umbuzeiro,2517001,292.0,68.4025847772819
-35.65,-7.65,Umbuzeiro,2517001,463.0,63.40447643666237
-35.6,-7.65,Natuba,2509909,531.0,58.50067578540255
-35.55,-7.65,Natuba,2509909,391.0,53.71701694656523
-35.5,-7.65,Natuba,2509909,346.0,49.088635742642346
-38.7,-7.6,Santa Inês,2513356,608.0,394.3780368656911
-38.65,-7.6,Santa Inês,2513356,523.0,388.8650222907539
-38.6,-7.6,Conceição,2504405,499.0,383.3522695478508
-38.55,-7.6,Santa Inês,2513356,498.0,377.8397900975151
-38.5,-7.6,Conceição,2504405,398.0,372.32759607841115
-38.45,-7.6,Conceição,2504405,402.0,366.8157003581909
-38.4,-7.6,Santana de Mangueira,2513505,383.0,361.30411658900096
-38.35,-7.6,Santana de Mangueira,2513505,475.0,355.79285926813475
-38.3,-7.6,Santana de Mangueira,2513505,426.0,350.28194380438424
-38.25,-7.6,Santana de Mangueira,2513505,576.0,344.7713865907507
-38.2,-7.6,Curral Velho,2505303,495.0,339.26120508420547
-38.15,-7.6,Curral Velho,2505303,430.0,333.7514178933365
