lat,lon,WIND_SPEED,SOLAR_IRRAD,n_days,elev,dist_coast
-7.0,-36.0,5.81566055579805,5.6384817619671175,13746,346.0,105.13569397930127
-7.0,-36.5,5.81566055579805,5.950549025170958,13746,518.0,157.01887049178484
-7.0,-37.0,5.688360977738978,5.950549025170958,13746,625.0,210.6064527673823
-7.0,-37.5,4.870208060526699,6.178662010766769,13746,685.0,264.66314619993085
-7.0,-38.0,4.3299534410010185,6.178662010766769,13746,493.0,319.0787709877954
-7.0,-38.5,4.1829143023425,6.045700902080605,13746,591.0,373.7307639845235
-7.0,-39.0,4.1829143023425,6.045700902080605,13746,488.0,428.5286997583307
-7.5,-34.5,6.646285464862506,5.809064797031864,13746,0.0,33.71307114804353
-7.5,-35.0,4.894738833115088,5.809064797031864,13746,39.0,1.6363916650411732
-7.5,-35.5,4.879177942674232,5.460255274261604,13746,638.0,41.90592924539224
-7.5,-36.0,5.461073039429652,5.460255274261604,13746,340.0,96.22254274955164
-7.5,-36.5,5.461073039429652,5.888564935253893,13746,517.0,151.19586394870697
-7.5,-37.0,5.579249236141423,5.888564935253893,13746,713.0,206.3015790825161
-7.5,-37.5,5.1437720064018615,6.082559595518696,13746,682.0,261.4559896109099
-7.5,-38.0,4.477509093554488,6.082559595518696,13746,339.0,316.63364980626676
-7.5,-38.5,4.077068965517241,5.972200007274844,13746,448.0,371.8242092583436
-7.5,-39.0,4.077068965517241,5.972200007274844,13746,396.0,427.02266650177216
-8.0,-34.5,6.485649643532663,5.809064797031864,13746,0.0,61.35399426742322
-8.0,-35.0,4.940672923032155,5.809064797031864,13746,0.0,51.17832873431137
-8.0,-35.5,4.680906445511422,5.460255274261604,13746,89.0,77.89688061633626
-8.0,-36.0,5.143274407100247,5.460255274261604,13746,456.0,116.51997154080195
-8.0,-36.5,5.143274407100247,5.888564935253893,13746,744.0,164.85847054329938
-8.0,-37.0,5.2426473155827145,5.888564935253893,13746,467.0,216.51435880010277
-8.0,-37.5,4.817556380037829,6.082559595518696,13746,434.0,269.5873894270655
-8.0,-38.0,4.513748726902372,6.082559595518696,13746,614.0,323.3805718102397
-8.0,-38.5,4.457645860613997,5.972200007274844,13746,302.0,377.5862399840234
-8.0,-39.0,4.457645860613997,5.972200007274844,13746,368.0,432.0491681984398
-8.5,-34.5,6.3618136185072025,6.015360992288666,13746,0.0,110.96739176504505
-8.5,-35.0,5.0345002182453085,6.015360992288666,13746,0.0,106.21219942786269
-8.5,-35.5,4.16764295067656,5.3285134802851735,13746,180.0,121.82638675722573
-8.5,-36.0,4.967605121489888,5.3285134802851735,13746,419.0,154.94480389012497
-8.5,-36.5,4.967605121489888,5.70274106649207,13746,629.0,193.93118314122643
-8.5,-37.0,5.100325185508511,5.70274106649207,13746,569.0,239.39393486740562
-8.5,-37.5,5.001602648043067,5.924642739706097,13746,529.0,288.285186963847
-8.5,-38.0,4.953437363596684,5.924642739706097,13746,466.0,339.1253200647182
-8.5,-38.5,4.905565982831369,5.859180961734323,13746,357.0,391.15515733523506
-8.5,-39.0,4.905565982831369,5.859180961734323,13746,393.0,443.9566107466401
-9.0,-34.5,6.326649207042048,6.015360992288666,13746,0.0,164.24394633503837
-9.0,-35.0,5.577212279935981,6.015360992288666,13746,0.0,161.2141746191955
-9.0,-35.5,4.234140113487561,5.3285134802851735,13746,0.0,172.19020445194067
-9.0,-36.0,4.856238178379165,5.3285134802851735,13746,0.0,198.18102546243435
-9.0,-36.5,4.856238178379165,5.70274106649207,13746,102.0,232.70830395419046
-9.0,-37.0,5.001117415975557,5.70274106649207,13746,104.0,271.7596492969102
-9.0,-37.5,4.952996508075076,5.924642739706097,13746,269.0,315.67736687551775
-9.0,-38.0,5.313379164847955,5.924642739706097,13746,314.0,362.6979923347765
-9.0,-38.5,5.367661137785538,5.859180961734323,13746,436.0,411.7598912529394
-9.0,-39.0,5.367661137785538,5.859180961734323,13746,535.0,462.21350387058544
